ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
市立黒砂保育所,保育所・保育園,クロスナホイクショ,263-0042,千葉市稲毛区黒砂2丁目4-24,,,35.62684,140.093643
市立都賀の台保育所,保育所・保育園,ツガノダイホイクショ,264-0033,千葉市若葉区都賀の台3丁目6－1,,,35.643724,140.144106
市立千城台東第二保育所,保育所・保育園,チシロダイヒガシダイニホイクショ,264-0002,千葉市若葉区千城台東4丁目33－1,,,35.618624,140.200075
市立千城台東第一保育所,保育所・保育園,チシロダイヒガシダイイチホイクショ,264-0002,千葉市若葉区千城台東2丁目8－1,,,35.619224,140.193484
市立千城台西保育所,保育所・保育園,チシロダイニシホイクショ,264-0004,千葉市若葉区千城台西3丁目8－1,,,35.618563,140.181449
市立多部田保育所,保育所・保育園,タベタホイクショ,265-0066,千葉市若葉区多部田町754－39,,,35.59778,140.195112
市立更科保育所,保育所・保育園,サラシナホイクショ,265-0073,千葉市若葉区更科町2073－27,,,35.620381,140.227761
市立桜木保育所,保育所・保育園,サクラギホイクショ,264-0022,千葉市若葉区桜木1丁目40－1,,,35.617694,140.156525
市立小倉台保育所,保育所・保育園,オグラダイホイクショ,264-0006,千葉市若葉区小倉台4丁目18－2,,,35.62861,140.171154
市立坂月保育所,保育所・保育園,サカツキホイクショ,264-0012,千葉市若葉区坂月町294－1,,,35.612343,140.180578
市立大宮台保育所,保育所・保育園,オオミヤダイホイクショ,264-0015,千葉市若葉区大宮台7丁目8－2,,,35.596258,140.181098
市立野呂保育所,保育所・保育園,ノロホイクショ,265-0053,千葉市若葉区野呂町622,,,35.583789,140.229532
